title,genres_associated,languages_availables,runtime,overview,adult,release_date,tagline,vote_average,keywords,cast
Shane,"['Drama', 'Western']",['English'],118.0,"A weary gunfighter attempts to settle down with a homestead family, but a smouldering settler and rancher conflict forces him to act.",False,1953-04-23,The Greatest Story Of The West Ever Filmed!,7.3,"['weary', 'gunfighter', 'attempts']","['Alan Ladd', 'Jean Arthur', 'Van Heflin', 'Brandon De Wilde', 'Jack Palance', 'Ben Johnson', 'Edgar Buchanan', 'Emile Meyer', 'Elisha Cook Jr.', 'Douglas Spencer', 'John Dierkes', 'Ellen Corby', 'Paul McVey', 'John Miller', 'Edith Evanson', 'Leonard Strong', 'Ray Spiker', 'Janice Carroll', 'Martin Mason', 'Helen Brown', 'Nancy Kulp', 'Ewing Miles Brown', 'Bill Cartledge', 'Chick Hannan', 'George J. Lewis', 'Jack Sterling', 'Henry Wills', 'Alana Ladd', 'David Ladd', 'Howard Negley', 'Charles Quirk', 'George Stevens', 'Beverly Washburn']"
"Suddenly, Last Summer","['Thriller', 'Drama', 'Mystery']",['English'],114.0,The only son of wealthy widow Violet Venable dies while on vacation with his cousin Catherine. What the girl saw was so horrible that she went insane; now Mrs. Venable wants Catherine lobotomized to cover up the truth.,False,1959-12-22,"Suddenly, last summer, Cathy knew she was being used for something evil!",7.0,"['venable', 'catherine', 'son']","['Elizabeth Taylor', 'Katharine Hepburn', 'Montgomery Clift', 'Albert Dekker', 'Mercedes McCambridge', 'Gary Raymond', 'Mavis Villiers', 'Patricia Marmont', 'Joan Young', 'Maria Britneva', 'Sheila Robbins', 'David Cameron', 'Gore Vidal', 'Eddie Fisher']"
Cat Ballou,"['Comedy', 'Western']",['English'],97.0,"A woman seeking revenge for her murdered father hires a famous gunman, but he's very different from what she expects.",False,1965-06-24,It's That Way-Out Whopper Of A Funny Western...A She-Bang To End All She-Bangs!,6.5,"['woman', 'seeking', 'revenge']","['Jane Fonda', 'Lee Marvin', ""Nat 'King' Cole"", 'Stubby Kaye', 'Michael Callan', 'Dwayne Hickman', 'John Marley', 'Reginald Denny', 'Jay C. Flippen', 'Bruce Cabot', 'Burt Mustin', 'Paul Gilbert', 'Tom Nardini']"
A Couch in New York,"['Romance', 'Comedy']","['English', 'French']",108.0,"Dr. Henry Harriston is a successful psychoanalyst in New York City. When he is near a nervous breakdown, he arranges to change his flat with Beatrice Saulnier from France for a while. Both don't know each other and both find themselves deeply involved into the social settings of the other, because the decision to change their flats is made overnight. Could be the perfect amusement, but suddenly Henry finds himself beaten up by Beatrice' lover and Beatrice is considered to be Dr. Harriston's substitute by his clients...",False,1996-01-01,A Man... A Woman... A Dog... The perfect combination for romance...,5.6,"['beatrice', 'henry', 'harriston']","['Juliette Binoche', 'William Hurt', 'Paul Guilfoyle', 'Richard Jenkins', 'Stephanie Buttle', 'Barbara Garrick']"
The Devil Rides Out,['Horror'],['English'],96.0,"The powers of good are pitted against the forces of evil as the Duc de Richelieu wrestles with the charming but deadly Satanist, Mocata, for the soul of his friend. Mocata has the knowledge and the power to summon the forces of darkness and, as the Duc de Richelieu and his friends remain within the protected pentacle, they are subjected to ever-increasing horror until thundering hooves herald the arrival of the Angel of Death.",False,1968-07-20,The beauty of woman . . . the demon of darkness . . . the unholy union of,6.7,"['forces', 'duc', 'de']","['Christopher Lee', 'Charles Gray', 'Nike Arrighi', 'Leon Greene', 'Patrick Mower', 'Gwen Ffrangcon Davies', 'Sarah Lawson', 'Paul Eddington', 'Rosalyn Landor', 'Russell Waters']"
Jerry and Tom,"['Action', 'Comedy', 'Drama', 'Crime']",['English'],107.0,"Tom and Jerry are two hit men, they work by day at a third-rate second-hand car dealership. Tom is a veteran and Jerry is a novice in their business, and their attitude toward their profession differs a lot. It shows when Tom is required to kill his old friend Karl.",False,1998-12-04,These Guys Make The Sopranos Sing!,6.7,[],"['Joe Mantegna', 'Sam Rockwell', 'Maury Chaykin', 'Ted Danson', 'Charles Durning', 'William H. Macy', 'Peter Riegert', 'Sarah Polley']"
Supergirl,"['Adventure', 'Fantasy', 'Action', 'Science Fiction']",['English'],124.0,"After losing a powerful orb, Kara, Superman's cousin, comes to Earth to retrieve it and instead finds herself up against a wicked witch",False,1984-11-19,From out of another galaxy and into your hearts comes... Supergirl,4.7,"['losing', 'powerful', 'orb']","['Faye Dunaway', 'Helen Slater', ""Peter O'Toole"", 'Hart Bochner', 'Mia Farrow', 'Brenda Vaccaro', 'Marc McClure', 'Peter Cook', 'Matt Frewer', 'Kelly Hunter', 'Glory Annen', 'Maureen Teefy']"
X: The Unknown,"['Horror', 'Science Fiction', 'Mystery']",['English'],81.0,"After a mysterious explosion leaves a large fissure in the ground, two young boys are confronted by an unknown phenomenon that inflicts severe radiation burns on one of them. There follows a spate of attacks at radiation establishments as the inexplicable life-form plunders radium stores. Dr Royston, an expert in atomic research, is brought in to explain and curtail the activities of this alien creature before it causes disaster.",False,1956-09-21,It rises from 2000 miles below the earth to melt everything in it's path!,5.8,"['radiation', 'mysterious', 'explosion']","['Dean Jagger', 'Leo McKern', 'William Lucas', 'Edward Chapman', 'John Harvey', 'Michael Ripper', 'Anthony Newley', 'Ian MacNaughton', 'Peter Hammond', 'Kenneth Cope', 'Michael Brooke', 'Frazer Hines', 'Neil Wilson', 'Jameson Clark', 'Jane Aird', 'Robert Bruce', 'John Stone', 'Marianne Brauns', 'Brown Derby', 'Edwin Richfield', 'Norman Macowan', 'Neil Hallett']"
The Art of War,"['Crime', 'Action', 'Adventure']",['English'],117.0,"When ruthless terrorists threaten to bring down the United Nations, they frame the one man they believe can stop them: an international security expert named Shaw. Now he must run from his own allies and become a solitary force for good, as he tries to stop what could become World War III.",False,2000-08-23,Who is your foe?,5.6,"['stop', 'become', 'ruthless']","['Wesley Snipes', 'Donald Sutherland', 'Maury Chaykin', 'Anne Archer', 'Michael Biehn', 'Cary-Hiroyuki Tagawa', 'Marie Matiko']"
The Ballad of Ramblin' Jack,"['Music', 'Documentary']",['English'],112.0,"With the help of her mother, family, friends, and fellow musicians, Aiyana Elliott reaches for her father, legendary cowboy troubadour, Ramblin' Jack Elliott. She explores who he is and how he got there, working back and forth between archival and contemporary footage. Born in 1932 in Brooklyn, busking through the South and West in the early 50s, a year with Woody Guthrie, six years flatpicking in Europe, a triumphant return to Greenwich Village in the early 60s, mentoring Bob Dylan, then life on the road, from gig to gig, singing and telling stories. A Grammy and the National Medal of Arts await Jack near the end of a long trail. What will Aiyana find for herself?",False,2000-01-26,After Woody Guthrie and before Bob Dylan came Ramblin' Jack Elliott.,0.0,[],"['Jack Elliott', 'Arlo Guthrie', 'Kris Kristofferson', 'Pete Seeger', 'Odetta', 'D.A. Pennebaker', 'Dave Van Ronk']"
Bring It On,['Comedy'],['English'],98.0,"The Toro cheerleading squad from Rancho Carne High School in San Diego has got spirit, spunk, sass and a killer routine that's sure to land them the national championship trophy for the sixth year in a row. But for newly-elected team captain, the Toros' road to total cheer glory takes a shady turn when she discovers that their perfectly-choreographed routines were in fact stolen.",False,2000-08-25,May the best moves win.,5.8,"['toro', 'cheerleading', 'squad']","['Kirsten Dunst', 'Jesse Bradford', 'Eliza Dushku', 'Gabrielle Union', 'Huntley Ritter', 'Clare Kramer', 'Nicole Bilderback', 'Tsianina Joelson', 'Nathan West', 'Shamari Fears', 'Natina Reed', 'Richard Hillman', 'Lindsay Sloane', 'Rini Bell', 'Brandi Williams', 'Bianca Kajlich', 'Holmes Osborne', 'Sherry Hursey', 'Cody McMains', 'Ian Roberts', 'David E. Taylor', 'Ashley Howard', 'Nikole Lee Amateau', 'Clementine Ford', 'Grant Thompson', 'Leonard Clifton', 'Marie Cole', 'Dru Mouser', 'Tracy Pacheco', 'Alicia Michelle Sassano', 'Natasha Soll', 'Ryan Drummond', 'Paullin Wolfe', 'David E. Willis', 'Beth LaMure', 'Anne Fletcher', 'Doug Waldo', 'Annie Hinton', 'Louise Gallagher', 'Edmond Clay', 'Daniella Kuhn', 'Aloma Wright', 'Paul Bloom', 'Melanie Atmadja', 'Peyton Reed', 'Jodi Harris', 'Nectar Rose', 'Elizabeth Johnson', 'Riley Smith', 'Carla Mackauf', 'Anna Lisa Mendiola', 'Greg Benoit', 'Alex Ferguson', 'Ruby Gonzalez', 'Lisel M. Gorell', 'Brandon Henschel', 'Kenyetta Lethridge', 'Rob Marrocco Jr.', 'Michael McCafferty', 'Hilary Angelo']"
Skipped Parts,"['Comedy', 'Drama', 'Romance']",['English'],100.0,A woman (Jennifer Jason Leigh) and her son (Bug Hall) must leave a small South Carolina town because of her wild behavior.,False,2000-06-06,There's nothing like knowing what you've been missing.,6.5,"['woman', 'jennifer', 'jason']","['Drew Barrymore', 'Jennifer Jason Leigh', 'Mischa Barton', 'Bug Hall', 'Brad Renfro', 'R. Lee Ermey', 'Gerald Lenton-Young', 'Peggy Lipton', 'Andrea Menard', 'Michael Greyeyes']"
Highlander: Endgame,"['Action', 'Fantasy', 'Science Fiction']","['English', 'French', '']",87.0,"Immortals Connor and Duncan Macleod join forces against a man from Connor's distant past in the highlands of Scotland, Kell, an immensely powerful immortal who leads an army of equally powerful and deadly immortal swordsmen and assassins. No immortal alive has been able to defeat Kell yet, and neither Connor nor Duncan are skilled enough themselves to take him on and live. The two of them eventually come to one inevitable conclusion; one of them must die so that the combined power of both the Highlanders can bring down Kell for good. There can be only one... the question is, who will it be?",False,2000-09-01,"It will take two immortals to defeat the ultimate evil. But in the end, there can be only one.",4.4,"['connor', 'kell', 'immortal']","['Christopher Lambert', 'Bruce Payne', 'Adrian Paul', 'Donnie Yen', 'Lisa Barbuscia', 'Beatie Edney']"
Turn It Up,"['Action', 'Crime', 'Drama']",['English'],86.0,"Trying to bootstrap his way out of Brooklyn's mean streets is Diamond, a rap musician. With his long-time pal Gage acting as his manager, he's trying to lay down a demo tape with cut-rate studio time. To pay the bills, he and Gage run drugs for ""Mr. B."" Inside a week, Diamond's beloved mother dies suddenly, his father appears after an absence of 12 years and wants a relationship, and his girlfriend Kia tells him she's pregnant, asking him if he's ready to be a father. Gage steals $100,000 in a multiple-felony robbery so that Diamond can record a full album, not knowing it's Mr. B's money he's taken. B wants his money, Diamond wants his music, Tia wants an answer.",False,2000-09-06,How you gonna win?,5.0,"['diamond', 'wants', 'gage']","['Jason Statham', 'Vondie Curtis-Hall', 'Tamala Jones', 'John Ralston', 'Ja Rule', 'Chris Messina', 'Eugene Clark', 'Derwin Jordan', 'Patrice Goodman', 'Chang Tseng', 'Harry-O', 'Elain R. Graham', 'Faith Evans', 'Melyssa Ford', 'Jeff Jones', 'LeRoy Allen', 'Shinehead', 'DJ Skribble', 'Conrad Dunn', 'Pras', 'Patricia Velásquez']"
Anatomy,"['Horror', 'Thriller']","['Deutsch', 'Latin']",103.0,"Medical student Paula Henning wins a place at an exclusive Heidelberg medical school. When the body of a young man she met on the train turns up on her dissection table, she begins to investigate the mysterious circumstances surrounding his death, and uncovers a gruesome conspiracy perpetrated by an Antihippocratic secret society operating within the school.",False,2000-02-03,Some study. Some are studied.,6.1,"['medical', 'school', 'student']","['Franka Potente', 'Benno Fürmann', 'Anna Loos', 'Oliver Wnuk', 'Sebastian Blomberg', 'Holger Speckhahn', 'Traugott Buhre', 'Arndt Schwering-Sohnrey', 'Andreas Günther', 'Antonia Holfelder', 'Rüdiger Vogler', 'Barbara Magdalena Ahren', 'Werner Dissel', 'Gennadi Vengerov', 'Thomas Meinhardt', 'Christoph Hagen Dittmann']"
Nurse Betty,"['Comedy', 'Crime', 'Thriller']","['English', 'Spanish']",108.0,"What happens when a person decides that life is merely a state of mind? If you're Betty, a small-town waitress and soap opera fan from Fair Oaks, Kansas, you refuse to believe that you can't be with the love of your life just because he doesn't really exist. After all, life is no excuse for not living. Traumatized by a savage event, Betty enters into a fugue state that allows -- even encourages -- her to keep functioning... in a kind of alternate reality.",False,2000-09-08,She's chasing a dream... they're chasing her.,5.9,"['life', 'state', 'betty']","['Renée Zellweger', 'Morgan Freeman', 'Chris Rock', 'Greg Kinnear', 'Aaron Eckhart', 'Tia Texada', 'Crispin Glover', 'Pruitt Taylor Vince', 'Allison Janney', 'Kathleen Wilhoite', 'Elizabeth Mitchell', 'Susan Barnes', 'Harriet Sansom Harris', 'Sung-Hi Lee', 'Laird Macintosh', 'Steven Gilborn', 'Jenny Gago', 'Sheila Kelley', 'Matthew Cowles', 'Wayne Tippit', 'George Wallace']"
Alone,"['Drama', 'Foreign']",['Spanish'],101.0,"Maria, whose parents live in the country, cannot stand her father's authoritarian ways and moves to the city. She finds a job as a cleaner and tries to survive in a wretched apartment in the shabby part of a big city. She is pregnant, and the fact that her boyfriend has abandoned her does not help matters. When her father goes to the hospital for an operation, her mother comes to stay with her. Her neighbor, an old recluse whose only friend is his dog, begins to come out of his shell and these three lost souls try to give each other the strength to start over.",False,1999-03-05,"Go deep, fear nothing, look for escape and be brave.",6.7,"['whose', 'father', 'city']","['María Galiana', 'Ana Fernández', 'Carlos Álvarez-Nóvoa', 'Juan Fernández', 'Antonio Dechent', 'Miguel Alcíbar', 'Concha Galán', 'Paco Tous', 'José Manuel Seda', 'Sebastián Haro', 'Gloria de Jesús', 'María Alfonsa Rosso', 'Rosario Pardo', 'Mariana Cordero', 'José Chaves', 'Cuca Escribano']"
The Watcher,"['Mystery', 'Thriller']","['Vietnamese', 'English']",96.0,"FBI agent Joel Campbell, burnt-out and shell-shocked after years spent chasing serial killers, flees L.A. to begin a new life for himself in Chicago. But five months later, Joel's best laid plans are abruptly cut short when his new hometown becomes the setting for some particularly gruesome murders--murders that could only have been committed by one man: David Allen Griffin. One of Joel's most elusive and cunning nemeses, Griffin has followed his former pursuer to Chicago in order to play a sadistic game of cat and mouse. Taunting Joel with photographs of his intended victims and leaving his crime scenes meticulously free of clues in order to keep the police at bay, Griffin derives as much pleasure out of watching Joel react to every movement as watching his victims die. But when Griffin moves into Joel's inner circle, Joel must quickly find some way to stop him before someone close to him becomes the next one to die.",False,2000-09-08,Don't go home alone.,5.0,"['joel', 'griffin', 'one']","['James Spader', 'Keanu Reeves', 'Marisa Tomei', 'Ernie Hudson', 'Chris Ellis', 'Robert Cicchini', 'Yvonne Niami', 'Jenny McShane', 'Gina Alexander', 'Rebekah Louise Smith', 'Joseph Sikora', 'Jill Peterson', 'Michele DiMaso', 'Andrew Rothenberg', 'David Pasquesi']"
Almost Famous,"['Drama', 'Music']",['English'],122.0,"Almost Famous is an autobiographical inspired film about a 15-year-old who is hired by Rolling Stone magazine to follow and interview a rock band during their tour. A film about growing up, first love, disappointment, and the life of a rock star.",False,2000-09-15,Experience it. Enjoy it. Just don't fall for it.,7.4,"['film', 'rock', 'almost']","['Kate Hudson', 'Billy Crudup', 'Frances McDormand', 'Jason Lee', 'Patrick Fugit', 'Zooey Deschanel', 'Michael Angarano', 'Anna Paquin', 'Fairuza Balk', 'Noah Taylor', 'Philip Seymour Hoffman', 'Jimmy Fallon', 'Rainn Wilson', 'Jay Baruchel', 'John Fedevich', 'Mark Kozelek', 'Liz Stauber', 'Olivia Rosewood', 'Bijou Phillips', 'Pauley Perrette', 'Peter Frampton', 'Mark Pellington', 'Eion Bailey', 'J.J. Cohen', 'Gary Kohn', 'Ray Porter', 'Alice Marie Crowe', 'Erin Foley', 'Terry Chen', 'Mitch Hedberg', 'Jesse Caron', 'Zack Ward', 'Devin Corey', 'Pete Droge', 'Elaine Summers', 'Kevin Sussman', 'Tom Riis Farrell', 'John Patrick Amedori', 'Julia Decker', 'Brian Vaughan', 'Anthony Martelli', 'Susan Yeagley', 'Holly Maples', 'Michelle Moretti', 'Eric Stonestreet']"
Bait,"['Action', 'Thriller', 'Crime']",['English'],119.0,"Landing in jail for a petty theft crime, Alvin finds himself sharing a cell with John Jaster, the incarcerated half of the pair of high-tech thieves responsible for the missing gold. His partner, Bristol, is still at large. Alvin wants only to get out of prison and start fresh with his girlfriend, Lisa, and when the Feds, led by U.S. Treasury investigator Clenteen, set him loose on a sketchy deal, he thinks his luck has changed. Alvin has his freedom and the Feds have found their bait.",False,2000-09-14,Alvin Sanders is going to help the Feds catch a killer. He just doesn't know it yet.,6.1,"['alvin', 'feds', 'landing']","['Jamie Foxx', 'David Morse', 'Robert Pastorelli', 'David Paymer', 'Mike Epps', 'Jamie Kennedy', 'Nestor Serrano', 'Jason Jones']"
Crime + Punishment in Suburbia,['Drama'],['English'],100.0,"This is a contemporary fable loosely based on Fyodor Dostoyevsky's ""Crime and Punishment"". Roseanne is outwardly a perfect and popular teen. However, her image is hiding the abuse at her stepfather's hands, and she decides to take revenge. The events that follow are a mix of dark humor and an exploration of modern morality as Roseanne faces not only a fellow suburbanite who knows, but her own conscience as well.",False,2000-01-01,No one stays innocent forever,6.1,"['roseanne', 'contemporary', 'fable']","['Monica Keena', 'Ellen Barkin', 'Michael Ironside', 'Vincent Kartheiser', 'James DeBello', 'Jeffrey Wright', 'Conchata Ferrell', 'Marshall R. Teague', 'Nicki Aycox', 'Bonnie Somerville']"
Duets,"['Comedy', 'Drama', 'Music']",['English'],112.0,"Duets is a road-trip comedy which revolves around the little known world of karaoke and the whimsical characters who inhabit it. All roads lead to Omaha, site of a national karaoke competition where this motley group of singers and stars come together for a blow-out sing-off.",False,2000-09-09,Six littles souls in search of a little harmony.,5.5,"['karaoke', 'duets', 'comedy']","['Gwyneth Paltrow', 'Scott Speedman', 'Maria Bello', 'Paul Giamatti', 'Andre Braugher', 'Huey Lewis']"
Urbania,"['Romance', 'Drama']",['English'],103.0,"Charlie takes an odyssey through grief during a fall weekend in New York City. His encounters are planned and chance: with a homeless man who sleeps by his building, with a friend who's dying, with the couple who lives (and noisily loves) in the flat above him, with a bartender and a one-night-stand he follows home, and with a tattooed stranger whom he seeks out and befriends. Along the way, Charlie inhabits a city full of moments of violence and of stories and legends: a kidney thief, a microwaved poodle, a rat in a hot dog bun, a baby left on a car top, a tourist's toothbrush, needles in public-phone change slots. Charlie lives and tells his own stories. What caused his melancholy?",False,2000-01-24,Heard any good stories lately?,5.2,[],"['Dan Futterman', 'Matt Keeslar', 'Samuel Ball', 'Lothaire Bluteau', 'Alan Cumming', 'Josh Hamilton', 'James Simon', 'Megan Dodds', 'Gabriel Olds', 'Barbara Sukowa', 'Gerry Bamman', 'Pamela Shaw', 'Christopher Bradley']"
Urban Legends: Final Cut,['Horror'],['English'],97.0,"The making of a horror movie takes on a terrifying reality for students at the most prestigious film school in the country in 'Urban Legends: Final Cut', the suspenseful follow up to the smash hit 'Urban Legend'. At Alpine University, someone is determined to win the best film award at any cost - even if it means eliminating the competition. No one is safe and everyone is a suspect. 'Urban Legends: Final Cut' is an edge-of-your-seat thriller that will keep you guessing until the shocking climax.",False,2000-09-19,Legends Never Die.,4.4,"['film', 'legends', 'final']","['Jennifer Morrison', 'Matthew Davis', 'Loretta Devine', 'Hart Bochner', 'Anthony Anderson', 'Eva Mendes', 'Joey Lawrence', 'Anson Mount', 'Jessica Cauffiel', 'Michael Bacall', 'Marco Hofschneider', 'Derek Aasland', 'Jacinda Barrett', 'Peter Millard', 'Chas Lawther', 'Chuck Campbell', 'Yani Gellman', 'Jeannette Sousa', 'Rebecca Gayheart']"
Woman on Top,"['Comedy', 'Drama', 'Romance']","['Portuguese', 'English']",92.0,"Set to the intoxicating rhythms of Brazil, ""Woman on Top"" is a spicy, sexy comedy about the magic of food, love and music. Meet Isabella, a sultry enchantress born with the special gift of melting the palates and hearts of men everywhere. When she decides to break free from her rocky marriage and the stifling kitchen of her husband's restaurant in Brazil, she spirits off to San Francisco in pursuit of her dreams of a real culinary career.",False,2000-09-22,Want to know how she got there?,5.5,"['brazil', 'set', 'intoxicating']","['Penélope Cruz', 'Murilo Benício', 'Mark Feuerstein', 'John de Lancie', 'Anne Ramsay', 'Ana Gasteyer', 'Harold Perrineau']"
Dancer in the Dark,"['Drama', 'Crime', 'Music']",['English'],140.0,"Selma, a Czech immigrant on the verge of blindness, struggles to make ends meet for herself and her son, who has inherited the same genetic disorder and will suffer the same fate without an expensive operation. When life gets too difficult, Selma learns to cope through her love of musicals, escaping life's troubles - even if just for a moment - by dreaming up little numbers to the rhythmic beats of her surroundings.",False,2000-05-17,You don't need eyes to see.,7.7,"['selma', 'life', 'czech']","['Björk', 'Catherine Deneuve', 'David Morse', 'Peter Stormare', 'Joel Grey', 'Cara Seymour', 'Vladica Kostic', 'Jean-Marc Barr', 'Vincent Paterson', 'Siobhan Fallon', 'Zeljko Ivanek', 'Udo Kier', 'Jens Albinus', 'Reathel Bean', 'Mette Berggreen', 'Lars Michael Dinesen', 'Katrine Falkenberg', 'Michael Flessas', 'John Randolph Jones', 'Stellan Skarsgård', 'Paprika Steen', 'Noah Lazarus', 'John Martinus', 'Luke Reilly', 'Sean-Michael Smith', 'Al Agami', 'Anna Norberg', 'Troels Asmussen', 'Caroline Sascha Cogez']"
Best in Show,['Comedy'],['English'],90.0,"The tension is palpable, the excitement is mounting and the heady scent of competition is in the air as hundreds of eager contestants from across America prepare to take part in what is undoubtedly one of the greatest events of their lives -- the Mayflower Dog Show. The canine contestants and their owners are as wondrously diverse as the great country that has bred them.",False,2000-09-19,Some pets deserve a little more respect than others.,6.7,"['contestants', 'tension', 'palpable']","['Jay Brazeau', 'Parker Posey', 'Michael Hitchcock', ""Catherine O'Hara"", 'Eugene Levy', 'Bob Balaban', 'Will Sasso', 'Stephen E. Miller', 'Christopher Guest', 'Michael McKean', 'John Michael Higgins', 'Colin Cunningham', 'Fred Willard', 'Jennifer Coolidge', 'Jane Lynch', 'Larry Miller', 'Rachael Harris', 'Ed Begley Jr.']"
Girlfight,['Drama'],['English'],110.0,"Diana Guzman begins to train as a boxer and achieves impressive success, blazing new trails for female boxers, all while keeping it a secret from her father.",False,2000-05-01,Prove them wrong.,6.4,"['diana', 'guzman', 'begins']","['Michelle Rodriguez', 'Jaime Tirelli', 'Paul Calderon', 'Santiago Douglas', 'Ray Santiago', 'Víctor Sierra', 'Elisa Bocanegra', 'Herb Lovelle', 'Thomas Barbour', 'Shannon Walker Williams']"
Remember the Titans,['Drama'],['English'],113.0,"After leading his football team to 15 winning seasons, coach Bill Yoast is demoted and replaced by Herman Boone – tough, opinionated and as different from the beloved Yoast as he could be. The two men learn to overcome their differences and turn a group of hostile young men into true champions.",False,2000-09-29,History is written by the winners.,7.4,"['yoast', 'men', 'leading']","['Denzel Washington', 'Will Patton', 'Ryan Hurst', 'Wood Harris', 'Hayden Panettiere', 'Ryan Gosling', 'Nicole Ari Parker', 'Kate Bosworth', 'Donald Faison', 'Craig Kirkwood', 'Ethan Suplee', 'Kip Pardue', 'Earl Poitier', 'Burgess Jenkins', 'Marion Guyot', 'Neal Ghant', 'David Jefferson', 'Preston Wigasi Brant', 'John Michael Weatherly', 'Gregory Alan Williams', 'Brett Rice', 'Richard Fullerton', 'J. Don Ferguson', 'Krysten Leigh Jones', 'Afemo Omilami', 'Andrew Masset', 'Tim Ware', 'Tom Turbiville', 'Tom Nowicki', 'Jim Grimshaw', 'David Dwyer', 'Bo Keister', 'Lou Walker', 'Rhubarb Jones', 'Bob Neal', 'Dan Albright', 'Mike Pniewski', 'Sharon Blackwood', 'Paula Claire Jones', 'Kelly Cheston', 'Walker Jones', 'Ronald L. Conner', 'Courtney James Stewart', 'E.Y. Coley', 'John Wesley', 'B. Keith Harmon', 'Andy Francis', 'Stuart Greer', 'Derick Marshall', 'Kevin Dankosky', 'David Chandley', 'Scott Slade', 'Ric Reitz', 'Rory Griffin', 'Ryan Kowalske', 'Thomas Elliott', 'C. Stephen Browder', 'Jameel Jackson', 'Randy D. Patman Jr.', 'Jemal L. Webb', 'Shawn Cummings', 'Michael Rouby', 'Ray Stoney', 'Shanda Lee Munson', 'David de Vries', 'Matt Adams', 'Ryan Duncan']"
Hellraiser,['Horror'],['English'],94.0,"Larry and his wife, Julia move into an old house and discover a hideous creature - the man's half-brother, who is also the woman's former lover - hiding upstairs. Having lost his earthly body to a trio of S&amp;M demons, the Cenobites, Frank, is brought back into existence by a drop of blood on the floor. He soon forces his former mistress to bring him his necessary human sacrifices to complete his body... but the Cenobites won't be happy about this.",False,1987-09-11,He'll tear your soul apart.,6.9,"['former', 'body', 'cenobites']","['Andrew Robinson', 'Clare Higgins', 'Ashley Laurence', 'Sean Chapman', 'Oliver Smith', 'Robert Hines', 'Anthony Allen', 'Leon Davis', 'Michael Cassidy', 'Frank Baker', 'Kenneth Nelson', 'Gay Baynes', 'Niall Buggy', 'Dave Atkins', 'Oliver Parker', 'Doug Bradley', 'Nicholas Vince', 'Simon Bamford', 'Grace Kirby', 'Sharon Bower', 'Raul Newney', 'Pamela Sholto']"
Hellbound: Hellraiser II,"['Horror', 'Thriller']",['English'],97.0,"Doctor Channard is sent a new patient, a girl warning of the terrible creatures that have destroyed her family, Cenobites who offer the most intense sensations of pleasure and pain. But Channard has been searching for the doorway to Hell for years, and Kirsty must follow him to save her father and witness the power struggles among the newly damned.",False,1988-12-23,Time to play.,6.3,"['channard', 'doctor', 'sent']","['Clare Higgins', 'Ashley Laurence', 'Kenneth Cranham', 'Imogen Boorman', 'William Hope', 'Sean Chapman', 'Doug Bradley', 'Barbie Wilde', 'Simon Bamford', 'Nicholas Vince', 'Oliver Smith', 'Angus MacInnes', 'Ron Travis', 'Oliver Parker', 'Catherine Chevalier', 'Deborah Joel', 'James Tillitt', 'Bradley Lavelle', 'Edwin Craig', 'Andrew Robinson', 'Robert Hines', 'Michael Cassidy', 'Anthony Allen', 'Grace Kirby', 'Kevin Cole']"
Hellraiser III: Hell on Earth,"['Horror', 'Thriller', 'War']",['English'],93.0,"Pinhead is trapped in a sculpture and fortunately for him the sculpture is bought by a young playboy who owns his own night club. Pinhead busies himself escaping by getting the playboy to lure victims to his presence so he can use their blood. Once free, he seeks to destroy the puzzle cube so he need never return to Hell, but a female reporter is investigating the grisly murders and stands in his way.",False,1992-09-11,"What started in hell, will end on Earth",5.3,"['pinhead', 'sculpture', 'playboy']","['Kevin Bernhardt', 'Terry Farrell', 'Ken Carpenter', 'Doug Bradley', 'Paula Marshall', 'Philip Hyland', 'Ashley Laurence', 'Sharon Ceccatti', 'Peter Atkins', 'Anthony Hickox', 'Shanna Lynn', 'Bob Bragg', 'Clayton Hill', 'James D.R. Hickox', 'Zach Galligan']"
"Faraway, So Close!","['Drama', 'Fantasy', 'Science Fiction']","['English', 'French', 'Deutsch']",144.0,"The film opens with the angel Cassiel (Otto Sander) standing on the statue of the Angel of Victory overlooking post-Cold War Berlin. Growing ever more despondent over his fate as a mere observer of human life, rather than a vital part of it, Cassiel dreams of ""crossing over"" to the human world.And he does, as Karl Engel, a man who perhaps knows too much, perhaps like in many of Hitchcock's films, some harmless citizen who gets involved in an affair to which he is not up to. In fact, there is no one as kind and harmless as this newborn citizen of the Earth.We will follow Cassiels's adventures into a ""thriller."" This story which gets mangled with his own life is about weapons, more precisely about a weapon deal where the weapons - or INSTRUMENTS of violence -- are traded for IMAGES of violence.(Text from Wim Wenders site)",False,1993-09-09,Your favorite Angels are back!,6.4,"['angel', 'cassiel', 'human']","['Otto Sander', 'Bruno Ganz', 'Nastassja Kinski', 'Peter Falk', 'Solveig Dommartin', 'Heinz Rühmann', 'Rüdiger Vogler', 'Willem Dafoe', 'Horst Buchholz', 'Martin Olbertz', 'Monika Hansen', 'Lou Reed', 'Hanns Zischler', 'Günter Meisner', 'Ronald Nitschke', 'Mikhail Gorbachev']"
